count,event_type,timestamp_sec,timestamp_nsec
514,rising,16686,533497336
515,falling,16686,533660559
516,rising,16686,533827532
517,falling,16686,533994254
518,rising,16686,534161226
519,falling,16686,534327949
520,rising,16686,534494671
521,falling,16686,534661143
522,rising,16686,534828116
523,falling,16686,534994338
524,rising,16686,535161685
525,falling,16686,535327908
526,rising,16686,535494505
527,falling,16686,535663977
528,rising,16686,535828200
529,falling,16686,535994172
530,rising,16686,536161270
531,falling,16686,536327867
532,rising,16686,536494589
533,falling,16686,536663811
534,rising,16686,536828284
535,falling,16686,536994382
536,rising,16686,537161104
537,falling,16686,537327576
538,rising,16686,537495049
539,falling,16686,537661396
540,rising,16686,537827744
541,falling,16686,537994341
542,rising,16686,538160813
543,falling,16686,538327536
544,rising,16686,538494883
545,falling,16686,538660855
546,rising,16686,538830577
547,falling,16686,538994300
548,rising,16686,539161522
549,falling,16686,539327745
550,rising,16686,539494842
551,falling,16686,539661065
552,rising,16686,539830662
553,falling,16686,539994509
554,rising,16686,540161982
555,falling,16686,540328079
556,rising,16686,540494801
557,falling,16686,540661399
558,rising,16686,540831246
559,falling,16686,540994594
560,rising,16686,541161816
561,falling,16686,541327788
562,rising,16686,541495011
563,falling,16686,541660983
564,rising,16686,541828330
565,falling,16686,541994678
566,rising,16686,542161400
567,falling,16686,542327998
568,rising,16686,542494595
569,falling,16686,542660942
570,rising,16686,542827540
571,falling,16686,542997512
572,rising,16686,543161234
573,falling,16686,543327832
574,rising,16686,543494804
575,falling,16686,543660902
576,rising,16686,543827749
577,falling,16686,543997221
578,rising,16686,544161069
579,falling,16686,544327791
580,rising,16686,544494763
581,falling,16686,544661111
582,rising,16686,544827708
583,falling,16686,544994431
584,rising,16686,545161403
585,falling,16686,545327500
586,rising,16686,545494848
587,falling,16686,545660695
588,rising,16686,545827917
589,falling,16686,545994390
590,rising,16686,546163737
591,falling,16686,546328085
592,rising,16686,546494557
593,falling,16686,546661404
594,rising,16686,546828002
595,falling,16686,546994474
596,rising,16686,547164321
597,falling,16686,547328169
598,rising,16686,547494641
599,falling,16686,547661489
600,rising,16686,547830960
601,falling,16686,547995933
602,rising,16686,548164530
603,falling,16686,548328378
604,rising,16686,548494850
605,falling,16686,548661448
606,rising,16686,548827795
607,falling,16686,548994393
608,rising,16686,549161615
609,falling,16686,549330712
610,rising,16686,549494435
611,falling,16686,549661032
612,rising,16686,549827629
613,falling,16686,549993852
614,rising,16686,550158075
615,falling,16686,550325922
616,rising,16686,550489895
617,falling,16686,550656742
618,rising,16686,550823839
619,falling,16686,550990062
620,rising,16686,551156659
621,falling,16686,551325881
622,rising,16686,551489979
623,falling,16686,551656701
624,rising,16686,551823549
625,falling,16686,551990146
626,rising,16686,552157118
627,falling,16686,552323216
628,rising,16686,552490188
629,falling,16686,552657035
630,rising,16686,552823508
631,falling,16686,552989980
632,rising,16686,553156953
633,falling,16686,553323300
634,rising,16686,553492397
635,falling,16686,553656620
636,rising,16686,553823717
637,falling,16686,553989565
638,rising,16686,554157037
639,falling,16686,554323384
640,rising,16686,554492356
641,falling,16686,554656454
642,rising,16686,554823301
643,falling,16686,554990149
644,rising,16686,555156621
645,falling,16686,555323219
646,rising,16686,555490441
647,falling,16686,555656288
648,rising,16686,555823511
649,falling,16686,555990108
650,rising,16686,556156955
651,falling,16686,556322803
652,rising,16686,556490275
653,falling,16686,556659497
654,rising,16686,556823720
655,falling,16686,556990067
656,rising,16686,557157040
657,falling,16686,557322887
658,rising,16686,557490234
659,falling,16686,557659456
660,rising,16686,557823304
661,falling,16686,557989777
662,rising,16686,558156624
663,falling,16686,558323471
664,rising,16686,558489944
665,falling,16686,558659291
666,rising,16686,558823138
667,falling,16686,558989736
668,rising,16686,559156708
669,falling,16686,559323555
670,rising,16686,559490403
671,falling,16686,559657000
672,rising,16686,559823473
673,falling,16686,559990195
674,rising,16686,560166916
675,falling,16686,560328389
676,rising,16686,560494486
677,falling,16686,560660834
678,rising,16686,560830806
679,falling,16686,560994778
680,rising,16686,561161126
681,falling,16686,561327723
682,rising,16686,561494571
683,falling,16686,561660918
684,rising,16686,561831015
685,falling,16686,561994363
686,rising,16686,562161460
687,falling,16686,562327683
688,rising,16686,562494655
689,falling,16686,562660877
690,rising,16686,562827975
691,falling,16686,562994572
692,rising,16686,563161294
693,falling,16686,563327767
694,rising,16686,563494739
695,falling,16686,563660962
696,rising,16686,563827434
697,falling,16686,563997156
698,rising,16686,564161004
699,falling,16686,564327601
700,rising,16686,564494323
701,falling,16686,564661171
702,rising,16686,564828018
703,falling,16686,564997365
704,rising,16686,565161088
705,falling,16686,565327935
706,rising,16686,565494533
707,falling,16686,565661255
708,rising,16686,565827977
709,falling,16686,565997199
710,rising,16686,566161047
711,falling,16686,566327894
712,rising,16686,566494617
713,falling,16686,566661339
714,rising,16686,566828062
715,falling,16686,566994159
716,rising,16686,567161506
717,falling,16686,567327479
718,rising,16686,567494576
719,falling,16686,567660924
720,rising,16686,567827646
721,falling,16686,567994493
722,rising,16686,568164090
723,falling,16686,568327813
724,rising,16686,568494535
725,falling,16686,568661008
726,rising,16686,568827980
727,falling,16686,568994328
728,rising,16686,569164174
729,falling,16686,569327647
730,rising,16686,569494745
731,falling,16686,569660967
732,rising,16686,569828064
733,falling,16686,569994412
734,rising,16686,570162134
735,falling,16686,570328106
736,rising,16686,570494579
737,falling,16686,570661301
738,rising,16686,570827649
739,falling,16686,570994871
740,rising,16686,571161218
741,falling,16686,571330940
742,rising,16686,571494663
743,falling,16686,571661135
744,rising,16686,571827983
745,falling,16686,571994205
746,rising,16686,572161428
747,falling,16686,572330649
748,rising,16686,572501246
749,falling,16686,572662095
750,rising,16686,572828192
751,falling,16686,572994789
752,rising,16686,573161387
753,falling,16686,573330734
754,rising,16686,573494707
755,falling,16686,573660804
756,rising,16686,573827776
757,falling,16686,573994749
758,rising,16686,574161096
759,falling,16686,574327444
760,rising,16686,574497415
761,falling,16686,574661013
762,rising,16686,574827736
763,falling,16686,574994583
764,rising,16686,575161430
765,falling,16686,575328028
766,rising,16686,575497000
767,falling,16686,575660972
768,rising,16686,575827820
769,falling,16686,575994667
770,rising,16686,576161390
771,falling,16686,576327737
772,rising,16686,576497459
773,falling,16686,576661307
774,rising,16686,576827779
775,falling,16686,576994626
776,rising,16686,577160849
777,falling,16686,577327571
778,rising,16686,577494419
779,falling,16686,577661141
780,rising,16686,577828363
781,falling,16686,577994336
782,rising,16686,578161308
783,falling,16686,578327156
784,rising,16686,578494378
785,falling,16686,578663850
786,rising,16686,578827823
787,falling,16686,578994545
788,rising,16686,579161517
789,falling,16686,579327740
790,rising,16686,579494462
791,falling,16686,579664309
792,rising,16686,579827907
793,falling,16686,579994004
794,rising,16686,580162351
795,falling,16686,580327949
796,rising,16686,580495046
797,falling,16686,580664393
798,rising,16686,580827866
799,falling,16686,580994463
800,rising,16686,581161061
801,falling,16686,581327283
802,rising,16686,581494506
803,falling,16686,581661228
804,rising,16686,581830700
805,falling,16686,581994673
806,rising,16686,582161520
807,falling,16686,582327867
808,rising,16686,582494590
809,falling,16686,582661062
810,rising,16686,582830909
811,falling,16686,582994257
812,rising,16686,583161604
813,falling,16686,583328077
814,rising,16686,583494299
815,falling,16686,583661021
816,rising,16686,583831118
817,falling,16686,583994341
818,rising,16686,584161563
819,falling,16686,584328036
820,rising,16686,584494133
821,falling,16686,584661106
822,rising,16686,584828078
823,falling,16686,584994175
824,rising,16686,585161273
825,falling,16686,585327870
826,rising,16686,585494468
827,falling,16686,585661065
828,rising,16686,585827912
829,falling,16686,585997009
830,rising,16686,586161482
831,falling,16686,586327954
832,rising,16686,586494552
833,falling,16686,586661024
834,rising,16686,586828121
835,falling,16686,586997718
836,rising,16686,587160941
837,falling,16686,587327789
838,rising,16686,587494386
839,falling,16686,587661233
840,rising,16686,587827706
841,falling,16686,587994428
842,rising,16686,588161151
843,falling,16686,588327873
844,rising,16686,588494470
845,falling,16686,588660818
846,rising,16686,588827790
847,falling,16686,588994012
848,rising,16686,589164109
849,falling,16686,589327832
850,rising,16686,589494305
851,falling,16686,589661027
852,rising,16686,589827999
853,falling,16686,589994472
854,rising,16686,590164443
855,falling,16686,590327916
856,rising,16686,590494514
857,falling,16686,590661486
858,rising,16686,590828083
859,falling,16686,590994681
860,rising,16686,591164278
861,falling,16686,591327626
862,rising,16686,591494348
863,falling,16686,591661570
864,rising,16686,591827418
865,falling,16686,591994390
866,rising,16686,592160988
867,falling,16686,592327085
868,rising,16686,592494557
869,falling,16686,592661405
870,rising,16686,592827752
871,falling,16686,592994599
872,rising,16686,593161322
873,falling,16686,593331044
874,rising,16686,593494891
875,falling,16686,593661364
876,rising,16686,593828086
877,falling,16686,593994184
878,rising,16686,594161281
879,falling,16686,594330503
880,rising,16686,594494851
881,falling,16686,594661198
882,rising,16686,594827920
883,falling,16686,594994393
884,rising,16686,595161115
885,falling,16686,595327713
886,rising,16686,595494560
887,falling,16686,595661032
888,rising,16686,595828130
889,falling,16686,595994727
890,rising,16686,596160825
891,falling,16686,596328047
892,rising,16686,596497394
893,falling,16686,596660992
894,rising,16686,596827839
895,falling,16686,596994186
896,rising,16686,597161409
897,falling,16686,597332005
898,rising,16686,597497853
899,falling,16686,597661326
900,rising,16686,597827673
901,falling,16686,597994646
902,rising,16686,598161118
903,falling,16686,598327590
904,rising,16686,598497312
905,falling,16686,598661285
906,rising,16686,598827882
907,falling,16686,598994355
908,rising,16686,599161452
909,falling,16686,599328175
910,rising,16686,599494272
911,falling,16686,599661869
912,rising,16686,599828092
913,falling,16686,599994314
914,rising,16686,600161911
915,falling,16686,600327759
916,rising,16686,600494731
917,falling,16686,600664328
918,rising,16686,600828426
919,falling,16686,600994398
920,rising,16686,601161871
921,falling,16686,601327843
922,rising,16686,601494815
923,falling,16686,601663912
924,rising,16686,601827885
925,falling,16686,601994108
926,rising,16686,602160955
927,falling,16686,602327427
928,rising,16686,602495025
929,falling,16686,602661122
930,rising,16686,602827095
931,falling,16686,602994067
932,rising,16686,603161539
933,falling,16686,603328012
934,rising,16686,603494484
935,falling,16686,603660831
936,rising,16686,603831053
937,falling,16686,603994401
938,rising,16686,604161248
939,falling,16686,604327721
940,rising,16686,604494568
941,falling,16686,604661416
942,rising,16686,604831262
943,falling,16686,604994485
944,rising,16686,605161208
945,falling,16686,605327555
946,rising,16686,605494527
947,falling,16686,605661625
948,rising,16686,605831222
949,falling,16686,605994570
950,rising,16686,606161792
951,falling,16686,606327389
952,rising,16686,606494237
953,falling,16686,606661209
954,rising,16686,606828181
955,falling,16686,606997278
956,rising,16686,607161251
957,falling,16686,607328099
958,rising,16686,607495071
959,falling,16686,607661168
960,rising,16686,607827891
961,falling,16686,607997613
962,rising,16686,608161210
963,falling,16686,608327808
964,rising,16686,608494405
965,falling,16686,608661253
966,rising,16686,608827350
967,falling,16686,608997447
968,rising,16686,609161545
969,falling,16686,609327767
970,rising,16686,609494989
971,falling,16686,609661587
972,rising,16686,609827809
973,falling,16686,609994407
974,rising,16686,610162129
975,falling,16686,610327976
976,rising,16686,610495199
977,falling,16686,610660921
978,rising,16686,610827893
979,falling,16686,610994366
980,rising,16686,611164088
981,falling,16686,611327686
982,rising,16686,611494533
983,falling,16686,611661130
984,rising,16686,611828103
985,falling,16686,611994700
986,rising,16686,612164422
987,falling,16686,612327520
988,rising,16686,612494492
989,falling,16686,612661340
990,rising,16686,612828312
991,falling,16686,612994784
992,rising,16686,613164131
993,falling,16686,613327479
994,rising,16686,613494951
995,falling,16686,613661674
996,rising,16686,613828271
997,falling,16686,613994494
998,rising,16686,614161091
999,falling,16686,614330688
1000,rising,16686,614494911
1001,falling,16686,614661758
1002,rising,16686,614827480
1003,falling,16686,614994328
1004,rising,16686,615161175
1005,falling,16686,615331147
1006,rising,16686,615494495
1007,falling,16686,615661342
1008,rising,16686,615828190
1009,falling,16686,615994662
1010,rising,16686,616161384
