Time [s],Channel 0,Channel 2
5.038051360,0,0
5.043047360,1,0
5.043051200,1,1
5.048047360,0,1
5.048051200,0,0
5.053047200,1,0
5.053051040,1,1
5.058047200,0,1
5.058051040,0,0
5.063047040,1,0
5.063050880,1,1
5.068047040,0,1
5.068050880,0,0
5.073046880,1,0
5.073050720,1,1
5.078046720,0,1
5.078050720,0,0
5.083046720,1,0
5.083050560,1,1
5.088046560,0,1
5.088050560,0,0
5.093046560,1,0
5.093050240,1,1
5.098046400,0,1
5.098050240,0,0
5.103046400,1,0
5.103050080,1,1
5.108046240,0,1
5.108050080,0,0
5.113046080,1,0
5.113049920,1,1
5.118046080,0,1
5.118049920,0,0
5.123045920,1,0
5.123049920,1,1
5.128045920,0,1
5.128049760,0,0
5.133045760,1,0
5.133049600,1,1
5.138045760,0,1
5.138049600,0,0
5.143045600,1,0
5.143049440,1,1
5.148045600,0,1
5.148049440,0,0
5.153045440,1,0
5.153049280,1,1
5.158045440,0,1
5.158049280,0,0
5.163045280,1,0
5.163049120,1,1
5.168045120,0,1
5.168049120,0,0
5.173045120,1,0
5.173048800,1,1
5.178044960,0,1
5.178048960,0,0
5.183044960,1,0
5.183048640,1,1
5.188044800,0,1
5.188048640,0,0
5.193044800,1,0
5.193048480,1,1
5.198044640,0,1
5.198048480,0,0
5.203044480,1,0
5.203048320,1,1
5.208044480,0,1
5.208048320,0,0
5.213044320,1,0
5.213048160,1,1
5.218044320,0,1
5.218048160,0,0
5.223044160,1,0
5.223048000,1,1
5.228044160,0,1
5.228048000,0,0
5.233044000,1,0
5.233047840,1,1
5.238044000,0,1
5.238047840,0,0
5.243043840,1,0
5.243047680,1,1
5.248043840,0,1
5.248047680,0,0
5.253043680,1,0
5.253047520,1,1
5.258043520,0,1
5.258047520,0,0
5.263043520,1,0
5.263047360,1,1
5.268043360,0,1
5.268047360,0,0
5.273043360,1,0
5.273047040,1,1
5.278043200,0,1
5.278047040,0,0
5.283043200,1,0
5.283046880,1,1
5.288043040,0,1
5.288046880,0,0
5.293042880,1,0
5.293046720,1,1
5.298042880,0,1
5.298046880,0,0
5.303042720,1,0
5.303046560,1,1
5.308042720,0,1
5.308046560,0,0
5.313042560,1,0
5.313046400,1,1
5.318042560,0,1
5.318046400,0,0
5.323042400,1,0
5.323046240,1,1
5.328042400,0,1
5.328046240,0,0
5.333042240,1,0
5.333046080,1,1
5.338042240,0,1
5.338046080,0,0
5.343042080,1,0
5.343045920,1,1
5.348041920,0,1
5.348045920,0,0
5.353041920,1,0
5.353045760,1,1
5.358041760,0,1
5.358045760,0,0
5.363041760,1,0
5.363045440,1,1
5.368041600,0,1
5.368045440,0,0
5.373041600,1,0
5.373045280,1,1
5.378041440,0,1
5.378045280,0,0
5.383041280,1,0
5.383045120,1,1
5.388041280,0,1
5.388045120,0,0
5.393041120,1,0
5.393044960,1,1
5.398041120,0,1
5.398044960,0,0
5.403040960,1,0
5.403044800,1,1
5.408040960,0,1
5.408044800,0,0
5.413040800,1,0
5.413044640,1,1
5.418040800,0,1
5.418044640,0,0
5.423040640,1,0
5.423044480,1,1
5.428040640,0,1
5.428044480,0,0
5.433040480,1,0
5.433044320,1,1
5.438040320,0,1
5.438044320,0,0
5.443040320,1,0
5.443044160,1,1
5.448040160,0,1
5.448043360,0,0
5.453040160,1,0
5.453043040,1,1
5.458040000,0,1
5.458044000,0,0
5.463040000,1,0
5.463043680,1,1
5.468039840,0,1
5.468043680,0,0
5.473039680,1,0
5.473043520,1,1
5.478039680,0,1
5.478043520,0,0
5.483039520,1,0
5.483043360,1,1
5.488039520,0,1
5.488043360,0,0
5.493039360,1,0
5.493043200,1,1
5.498039360,0,1
5.498043200,0,0
5.503039200,1,0
5.503043040,1,1
5.508039200,0,1
5.508043040,0,0
5.513039040,1,0
5.513042880,1,1
5.518039040,0,1
5.518042880,0,0
5.523038880,1,0
5.523042720,1,1
5.528038720,0,1
5.528042720,0,0
5.533038720,1,0
5.533042560,1,1
5.538038560,0,1
5.538042560,0,0
5.543038560,1,0
5.543042240,1,1
5.548038400,0,1
5.548042240,0,0
5.553038400,1,0
5.553042080,1,1
5.558038240,0,1
5.558042080,0,0
5.563038080,1,0
5.563041920,1,1
5.568038080,0,1
5.568041920,0,0
5.573037920,1,0
5.573041760,1,1
5.578037920,0,1
5.578041760,0,0
5.583037760,1,0
5.583041600,1,1
5.588037760,0,1
5.588041600,0,0
5.593037600,1,0
5.593041440,1,1
5.598037600,0,1
5.598041440,0,0
5.603037440,1,0
5.603041280,1,1
5.608037440,0,1
5.608041280,0,0
5.613037280,1,0
