Time [s],Channel 0,Channel 2
12.540658720,1,0
12.540710560,1,1
12.541158720,0,1
12.541213600,0,0
12.541658720,1,0
12.541710560,1,1
12.542158720,0,1
12.542213600,0,0
12.542658560,1,0
12.542710880,1,1
12.543158560,0,1
12.543213440,0,0
12.543658560,1,0
12.543710880,1,1
12.544158560,0,1
12.544213280,0,0
12.544658560,1,0
12.544710240,1,1
12.545158560,0,1
12.545213600,0,0
12.545658400,1,0
12.545710240,1,1
12.546158400,0,1
12.546213600,0,0
12.546658400,1,0
12.546710400,1,1
12.547158400,0,1
12.547213280,0,0
12.547658400,1,0
12.547710240,1,1
12.548158400,0,1
12.548213440,0,0
12.548658240,1,0
12.548709920,1,1
12.549158240,0,1
12.549213760,0,0
12.549658240,1,0
12.549709920,1,1
12.550158240,0,1
12.550209920,0,0
12.550658080,1,0
12.550709920,1,1
12.551158080,0,1
12.551210080,0,0
12.551658080,1,0
12.551712800,1,1
12.552158080,0,1
12.552209440,0,0
12.552658080,1,0
12.552712960,1,1
12.553158080,0,1
12.553209760,0,0
12.553657920,1,0
12.553714560,1,1
12.554157920,0,1
12.554205440,0,0
12.554657920,1,0
12.554708480,1,1
12.555157920,0,1
12.555205120,0,0
12.555657920,1,0
12.555708480,1,1
12.556157920,0,1
12.556205120,0,0
12.556657760,1,0
12.556708320,1,1
12.557157760,0,1
12.557205440,0,0
12.557657760,1,0
12.557708160,1,1
12.558157760,0,1
12.558204800,0,0
12.558657760,1,0
12.558708480,1,1
12.559157600,0,1
12.559205120,0,0
12.559657600,1,0
12.559708160,1,1
12.560157600,0,1
12.560204960,0,0
12.560657600,1,0
12.560708160,1,1
12.561157600,0,1
12.561204800,0,0
12.561657440,1,0
12.561704640,1,1
12.562157440,0,1
12.562208000,0,0
12.562657440,1,0
12.562704640,1,1
12.563157440,0,1
12.563207520,0,0
12.563657440,1,0
12.563711040,1,1
12.564157440,0,1
12.564212000,0,0
12.564657280,1,0
12.564708800,1,1
12.565157280,0,1
12.565211680,0,0
12.565657280,1,0
12.565708320,1,1
12.566157280,0,1
12.566211680,0,0
12.566657280,1,0
12.566708800,1,1
12.567157280,0,1
12.567211840,0,0
12.567657120,1,0
12.567708320,1,1
12.568157120,0,1
12.568212160,0,0
12.568657120,1,0
12.568708320,1,1
12.569157120,0,1
12.569212000,0,0
12.569657120,1,0
12.569708640,1,1
12.570156960,0,1
12.570211840,0,0
12.570656960,1,0
12.570708320,1,1
12.571156960,0,1
12.571211360,0,0
12.571656960,1,0
12.571708160,1,1
12.572156960,0,1
12.572208000,0,0
12.572656800,1,0
12.572708160,1,1
12.573156800,0,1
12.573207840,0,0
12.573656800,1,0
12.573712800,1,1
12.574156800,0,1
12.574208320,0,0
12.574656800,1,0
12.574710720,1,1
12.575156800,0,1
12.575208160,0,0
12.575656640,1,0
12.575710880,1,1
12.576156640,0,1
12.576208160,0,0
12.576656640,1,0
12.576711040,1,1
12.577156640,0,1
12.577207840,0,0
12.577656640,1,0
12.577711200,1,1
12.578156640,0,1
12.578207840,0,0
12.578656480,1,0
12.578711360,1,1
12.579156480,0,1
12.579207360,0,0
12.579656480,1,0
12.579711200,1,1
12.580156480,0,1
12.580208160,0,0
12.580656480,1,0
12.580710880,1,1
12.581156320,0,1
12.581207840,0,0
12.581656320,1,0
12.581711200,1,1
12.582156320,0,1
12.582207520,0,0
12.582656320,1,0
12.582707520,1,1
12.583156320,0,1
12.583207360,0,0
12.583656160,1,0
12.583708000,1,1
12.584156160,0,1
12.584210720,0,0
12.584656160,1,0
12.584707520,1,1
12.585156160,0,1
12.585210400,0,0
12.585656160,1,0
12.585706880,1,1
12.586156160,0,1
12.586210080,0,0
12.586656000,1,0
12.586707360,1,1
12.587156000,0,1
12.587209920,0,0
12.587656000,1,0
12.587707520,1,1
12.588156000,0,1
12.588210240,0,0
12.588656000,1,0
12.588707200,1,1
12.589156000,0,1
12.589210400,0,0
12.589655840,1,0
12.589707200,1,1
12.590155840,0,1
12.590210400,0,0
12.590655840,1,0
12.590707040,1,1
12.591155840,0,1
12.591210560,0,0
12.591655840,1,0
12.591707520,1,1
12.592155680,0,1
12.592210080,0,0
12.592655680,1,0
12.592707040,1,1
12.593155680,0,1
12.593209920,0,0
12.593655680,1,0
12.593707680,1,1
12.594155680,0,1
12.594207040,0,0
12.594655520,1,0
12.594709760,1,1
12.595155520,0,1
12.595206560,0,0
12.595655520,1,0
12.595709760,1,1
12.596155520,0,1
12.596207040,0,0
12.596655520,1,0
12.596709600,1,1
12.597155520,0,1
12.597206560,0,0
12.597655360,1,0
12.597709920,1,1
12.598155360,0,1
12.598206720,0,0
12.598655360,1,0
12.598709600,1,1
12.599155360,0,1
12.599206560,0,0
12.599655360,1,0
12.599709600,1,1
12.600155360,0,1
12.600206560,0,0
12.600655200,1,0
12.600709440,1,1
12.601155200,0,1
12.601206240,0,0
12.601655200,1,0
12.601709440,1,1
12.602155200,0,1
12.602206400,0,0
12.602655200,1,0
12.602709600,1,1
12.603155040,0,1
12.603206240,0,0
12.603655040,1,0
12.603710400,1,1
12.604155040,0,1
12.604206240,0,0
12.604655040,1,0
12.604706400,1,1
12.605155040,0,1
12.605206400,0,0
12.605654880,1,0
12.605706080,1,1
12.606154880,0,1
12.606208960,0,0
12.606654880,1,0
12.606706080,1,1
12.607154880,0,1
12.607208960,0,0
12.607654880,1,0
12.607705920,1,1
12.608154880,0,1
12.608209120,0,0
12.608654720,1,0
12.608706240,1,1
12.609154720,0,1
12.609209120,0,0
12.609654720,1,0
12.609706080,1,1
12.610154720,0,1
12.610208960,0,0
12.610654720,1,0
12.610705920,1,1
12.611154720,0,1
12.611209120,0,0
12.611654560,1,0
12.611706080,1,1
12.612154560,0,1
12.612208800,0,0
12.612654560,1,0
12.612705920,1,1
12.613154560,0,1
12.613208960,0,0
12.613654560,1,0
12.613707040,1,1
12.614154400,0,1
12.614208800,0,0
12.614654400,1,0
12.614705440,1,1
12.615154400,0,1
12.615204960,0,0
12.615654400,1,0
12.615705600,1,1
12.616154400,0,1
12.616205280,0,0
12.616654240,1,0
12.616708480,1,1
12.617154240,0,1
12.617205120,0,0
12.617654240,1,0
12.617708480,1,1
12.618154240,0,1
12.618205120,0,0
12.618654240,1,0
12.618708640,1,1
12.619154240,0,1
12.619205760,0,0
12.619654080,1,0
12.619708320,1,1
12.620154080,0,1
12.620205280,0,0
12.620654080,1,0
12.620708960,1,1
12.621154080,0,1
12.621204960,0,0
12.621654080,1,0
12.621708640,1,1
12.622154080,0,1
12.622205120,0,0
12.622653920,1,0
12.622708800,1,1
12.623153920,0,1
12.623205280,0,0
12.623653920,1,0
12.623709280,1,1
12.624153920,0,1
12.624205280,0,0
12.624653920,1,0
12.624708800,1,1
12.625153760,0,1
12.625205120,0,0
12.625653760,1,0
12.625708320,1,1
12.626153760,0,1
12.626205120,0,0
12.626653760,1,0
12.626704800,1,1
12.627153760,0,1
12.627208000,0,0
12.627653600,1,0
12.627704480,1,1
12.628153600,0,1
12.628208320,0,0
12.628653600,1,0
12.628704960,1,1
12.629153600,0,1
12.629207840,0,0
12.629653600,1,0
12.629704640,1,1
12.630153600,0,1
12.630207840,0,0
12.630653440,1,0
12.630704480,1,1
12.631153440,0,1
12.631207680,0,0
12.631653440,1,0
12.631704800,1,1
12.632153440,0,1
12.632208320,0,0
12.632653440,1,0
12.632704480,1,1
12.633153440,0,1
12.633207840,0,0
12.633653280,1,0
12.633705120,1,1
12.634153280,0,1
12.634207680,0,0
12.634653280,1,0
12.634704320,1,1
12.635153280,0,1
12.635207360,0,0
12.635653280,1,0
12.635704480,1,1
12.636153120,0,1
12.636207840,0,0
12.636653120,1,0
12.636704320,1,1
12.637153120,0,1
12.637204000,0,0
12.637653120,1,0
12.637704800,1,1
12.638153120,0,1
12.638204000,0,0
12.638652960,1,0
12.638707200,1,1
12.639152960,0,1
12.639204960,0,0
12.639652960,1,0
12.639703520,1,1
12.640152960,0,1
12.640200160,0,0
12.640652960,1,0
12.640703360,1,1
12.641152960,0,1
12.641200320,0,0
12.641652800,1,0
12.641703040,1,1
12.642152800,0,1
12.642199840,0,0
12.642652800,1,0
12.642703360,1,1
12.643152800,0,1
12.643200640,0,0
12.643652800,1,0
12.643708960,1,1
12.644152800,0,1
12.644204160,0,0
12.644652640,1,0
12.644707040,1,1
12.645152640,0,1
12.645203840,0,0
12.645652640,1,0
12.645706880,1,1
12.646152640,0,1
12.646203840,0,0
12.646652640,1,0
12.646706880,1,1
12.647152480,0,1
12.647203840,0,0
12.647652480,1,0
12.647703680,1,1
12.648152480,0,1
12.648203520,0,0
12.648652480,1,0
12.648703520,1,1
12.649152480,0,1
12.649206560,0,0
12.649652320,1,0
12.649703520,1,1
12.650152320,0,1
12.650206400,0,0
12.650652320,1,0
12.650703520,1,1
12.651152320,0,1
12.651207040,0,0
12.651652320,1,0
12.651703520,1,1
12.652152320,0,1
12.652206400,0,0
12.652652160,1,0
12.652703680,1,1
12.653152160,0,1
12.653207040,0,0
12.653652160,1,0
12.653704160,1,1
12.654152160,0,1
12.654206880,0,0
12.654652160,1,0
12.654703200,1,1
12.655152160,0,1
12.655206880,0,0
12.655652000,1,0
12.655703360,1,1
12.656152000,0,1
12.656206880,0,0
12.656652000,1,0
12.656703040,1,1
12.657152000,0,1
12.657206560,0,0
12.657652000,1,0
12.657703200,1,1
12.658151840,0,1
12.658202880,0,0
12.658651840,1,0
12.658702720,1,1
12.659151840,0,1
12.659203040,0,0
12.659651840,1,0
12.659705920,1,1
12.660151840,0,1
12.660202880,0,0
12.660651680,1,0
12.660706240,1,1
12.661151680,0,1
12.661202720,0,0
12.661651680,1,0
12.661706080,1,1
12.662151680,0,1
12.662202880,0,0
12.662651680,1,0
12.662706240,1,1
12.663151680,0,1
